sku,name,category,description,price,stock,image_url
0001,เอสเพรสโซ่ เบลนด์,เมล็ดกาแฟ,ส่วนผสมกาแฟที่มีรสชาติเข้มข้นและหนักแน่น ผลิตขึ้นมาโดยเฉพาะสำหรับเอสเพรสโซ่ ประกอบด้วยส่วนผสมของเมล็ดอาราบิก้าและโรบัสต้าเพื่อให้ได้ครีมาที่สมบูรณ์แบบและรสชาติที่เต็มอิ่ม คั่วระดับกลาง-เข้มเพื่อการสกัดที่เหมาะสมที่สุด,12.99,50,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-00UIYKRcKhsd9MwIps6oqBOT.png?st=2024-09-24T01%3A42%3A53Z&se=2024-09-24T03%3A42%3A53Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A18%3A38Z&ske=2024-09-24T23%3A18%3A38Z&sks=b&skv=2024-08-04&sig=Kg0qV7qW5mtrSxCHjtAsHM6i3GpKox2nuTv8UBTp/X4%3D
0002,โคลอมเบีย ซิงเกิล ออริจิน,เมล็ดกาแฟ,กาแฟคั่วกลางที่นุ่มนวลพร้อมโน้ตของถั่วที่โดดเด่น ผลิตจากไร่เดียวในภูมิภาคอุยลาของโคลอมเบีย ให้รสชาติที่สะอาดพร้อมกลิ่นอายของคาราเมลและสัมผัสของรสซิตรัสที่ละเอียดอ่อน,14.99,40,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-8yTa0bgQdA0XqyrmF3qDta1R.png?st=2024-09-24T01%3A43%3A03Z&se=2024-09-24T03%3A43%3A03Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A22%3A11Z&ske=2024-09-24T23%3A22%3A11Z&sks=b&skv=2024-08-04&sig=YJGjyveV7z/aFBe5Zq6IAVwqPyLHb4v7h8OPbwFa7Zk%3D
0003,เฟรนช์เพรส,อุปกรณ์ชงกาแฟ,เฟรนช์เพรสสแตนเลสสตีลทนทานขนาด 34 ออนซ์ โครงสร้างผนังสองชั้นเพื่อการรักษาความร้อนที่ดีขึ้น มาพร้อมกับตัวกรองตาข่ายละเอียดสำหรับการชงที่สะอาดและทำความสะอาดง่าย,29.99,25,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-x5RTn0OOd17cHigoTABCGLmq.png?st=2024-09-24T01%3A43%3A25Z&se=2024-09-24T03%3A43%3A25Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A35%3A28Z&ske=2024-09-24T23%3A35%3A28Z&sks=b&skv=2024-08-04&sig=O7Fye8EUOgmV41sP453b0ne/Cy/c5AKEfTGjB55MvT0%3D
0004,เครื่องบดเมล็ดกาแฟแบบเฟือง,อุปกรณ์เสริม,เครื่องบดไฟฟ้าแบบเฟืองพร้อมการตั้งค่าการบด 18 ระดับจากละเอียดถึงหยาบ มีใบบดเซรามิกทรงกรวยเพื่อให้ได้ขนาดการบดที่สม่ำเสมอและลดความร้อน ความจุถังใส่เมล็ดกาแฟ 8 ออนซ์,59.99,15,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-Wq7whHw18j3fZsZtpoQic4FR.png?st=2024-09-24T01%3A43%3A35Z&se=2024-09-24T03%3A43%3A35Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A53%3A07Z&ske=2024-09-24T23%3A53%3A07Z&sks=b&skv=2024-08-04&sig=knS8ompvk3urx33D2Ep0rhUwuWzwnBj5Sq2nfURipkg%3D
0005,ชุดพอร์ โอเวอร์,อุปกรณ์ชงกาแฟ,ชุดพอร์โอเวอร์ครบชุดประกอบด้วยดริปเปอร์เซรามิกและเหยือกแก้วขนาด 20 ออนซ์ ดริปเปอร์มีร่องเกลียวสำหรับการสกัดที่สม่ำเสมอ เหยือกมีแถบคอร์กสำหรับการจับที่สะดวกสบาย,34.99,20,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-DaSENfelnQh89iYAu5LW4xXF.png?st=2024-09-24T01%3A43%3A47Z&se=2024-09-24T03%3A43%3A47Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A17%3A25Z&ske=2024-09-24T23%3A17%3A25Z&sks=b&skv=2024-08-04&sig=cc/tz96DAzi0SuyTOeJGs79NZuIu1yWlmYjaBqepYLE%3D
0006,เหยือกทำลาเต้ อาร์ต,อุปกรณ์เสริม,เหยือกสแตนเลสสตีลสำหรับตีฟองนมขนาด 12 ออนซ์ ออกแบบมาพร้อมปากเหยือกที่เรียวเพื่อควบคุมการเทได้อย่างแม่นยำ เหมาะสำหรับการสร้างลวดลายลาเต้อาร์ตที่ซับซ้อน,19.99,30,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-vAr0Jwzv3tcSFWAV0rRLyq2g.png?st=2024-09-24T01%3A43%3A57Z&se=2024-09-24T03%3A43%3A57Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A00%3A59Z&ske=2024-09-24T23%3A00%3A59Z&sks=b&skv=2024-08-04&sig=Wd7QhKodaMpO0pAwmKyrVourh7pZBz70%2B8yVJHLYnPI%3D
0007,ช้อนตวงกาแฟ,อุปกรณ์เสริม,ช้อนตวงกาแฟสแตนเลสสตีลขนาด 2 ช้อนโต๊ะ (10 กรัม) มาพร้อมคลิปหนีบถุงเพื่อรักษาความสดของกาแฟ สามารถล้างในเครื่องล้างจานได้เพื่อความสะดวกในการทำความสะอาด,7.99,100,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-oUJsyhN53izboeRn6nwVQmiX.png?st=2024-09-24T01%3A44%3A06Z&se=2024-09-24T03%3A44%3A06Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A34%3A55Z&ske=2024-09-24T23%3A34%3A55Z&sks=b&skv=2024-08-04&sig=LP2jNKq1korvQaFoTGybW5J6p3woLZ2QX9ndhx48kBw%3D
0008,ออร์แกนิค ดีคาฟ,เมล็ดกาแฟ,กาแฟคั่วกลางที่ผ่านกระบวนการสกัดคาเฟอีนแบบ Swiss Water Process ปราศจากคาเฟอีน 99.9% ในขณะที่ยังคงรสชาติที่สมบูรณ์ รับรองออร์แกนิคพร้อมโน้ตของช็อกโกแลตและถั่วคั่ว,13.99,35,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-U6vgmnbaSHDQqK2l9oQ0c6yA.png?st=2024-09-24T01%3A44%3A17Z&se=2024-09-24T03%3A44%3A17Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A11%3A41Z&ske=2024-09-24T23%3A11%3A41Z&sks=b&skv=2024-08-04&sig=oZaUNHbS0cEG0MifVaoBz0AvyrxwWMAMtRGka4rBaqk%3D
0009,ชุดไซรัปปรุงรส,ส่วนเสริม,ชุดไซรัปปรุงรสระดับกูร์เมต์ 3 รสชาติ: วานิลลา คาราเมล และเฮเซลนัท ผลิตจากส่วนผสมธรรมชาติและน้ำตาลอ้อยบริสุทธิ์ ขวดขนาด 375 มล. พร้อมหัวปั๊ม,24.99,40,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-aoGl2em1xIrpWE6pcK0jLDJU.png?st=2024-09-24T01%3A44%3A30Z&se=2024-09-24T03%3A44%3A30Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-24T00%3A40%3A40Z&ske=2024-09-25T00%3A40%3A40Z&sks=b&skv=2024-08-04&sig=3WdNtyhkhFk5IRLXtNa0PYK5HmjyN3pgjH%2BgBtI6as4%3D
0010,แก้วเดินทาง,ภาชนะดื่ม,แก้วเดินทางสแตนเลสสตีลหุ้มฉนวนขนาด 16 ออนซ์ ฉนวนสุญญากาศสองชั้นรักษาเครื่องดื่มให้ร้อนได้นาน 6 ชั่วโมงหรือเย็นได้นาน 12 ชั่วโมง ฝาปิดกันรั่วพร้อมช่องดื่มแบบง่าย,22.99,50,https://oaidalleapiprodscus.blob.core.windows.net/private/org-LsuimHoI5XF0bABqCmK6APJF/user-VPvhBXVsMg2XfZRy1bI8W0qV/img-wn39MRzKiqknpvzYXAiniRxj.png?st=2024-09-24T01%3A44%3A42Z&se=2024-09-24T03%3A44%3A42Z&sp=r&sv=2024-08-04&sr=b&rscd=inline&rsct=image/png&skoid=d505667d-d6c1-4a0a-bac7-5c84a87759f8&sktid=a48cca56-e6da-484e-a814-9c849652bcb3&skt=2024-09-23T23%3A06%3A25Z&ske=2024-09-24T23%3A06%3A25Z&sks=b&skv=2024-08-04&sig=9Sy6MMvXMCFlFHGJVYK5OoAkYk/9l%2BrIa2%2BcEJrNoCc%3D
